date      , country, conversions, spending            , campaignid, clicks, impressions, campaignname
2025-10-04, SV     ,           1,  2.0                ,  442119420,      0,       50611, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-04, SV     ,           4,  8.0                ,  449842020,      0,      131664, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-05, CR     ,           0,  0.0                ,  458606220,      0,       12155, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-05, EC     ,           2, 30.686499999999988  ,  437525820,      0,       51801, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-05, EC     ,           0,  6.077898           ,  444589020,      0,       15117, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-05, EC     ,           2, 30.468156999999994  ,  444589620,      0,       45487, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-05, EC     ,           0,  2.220503           ,  444590820,      0,        9367, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-05, EC     ,           0,  3.5265779999999998 ,  444595020,      0,       14243, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-05, EC     ,           0,  0.0                ,  449832420,      0,       37456, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-05, EC     ,           0,  0.0                ,  449833020,      0,       26479, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-05, EC     ,           0,  0.0                ,  449834820,      0,       55874, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-05, NI     ,           6,  8.21771899999999   ,  437521620,      0,       46267, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-05, NI     ,           4,  8.596875999999988  ,  437522820,      0,       50008, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-05, NI     ,           0,  0.6124700000000001 ,  437523420,      0,        4739, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-05, PE     ,           1,  1.0                ,  448580820,      0,       60029, PE_Doradobet_Jack_Pot_Desk_CPA
2025-10-05, PE     ,           5, 10.0                ,  448840620,      0,      189555, PE_Doradobet_Jack_Pot_Mobile_CPA
2025-10-05, PE     ,           6, 12.0                ,  448841220,      0,      221155, PE_Doradobet_GENERICO_LIGA_1_Mob_CPA
2025-10-05, PE     ,           3,  3.0                ,  448841820,      0,       54127, PE_Doradobet_GENERICO_LIGA_1_Desk_CPA
2025-10-05, PE     ,           4,  8.0                ,  448843020,      0,      193234, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-05, PE     ,          16, 32.0                ,  448843620,      0,      498510, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-05, SV     ,          29, 75.75096999999985   ,  437511420,      0,      110153, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-05, SV     ,           0,  4.235485           ,  437512020,      0,        9985, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-05, SV     ,           3,  6.0                ,  442119420,      0,       66409, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-05, SV     ,          11, 22.0                ,  449842020,      0,      180067, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-06, CR     ,           0,  0.0                ,  458606220,      0,        4823, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-06, CR     ,           0,  0.0                ,  458971620,      0,         569, CR_Doradobet_PopUnder_Regalo_por_registro_Desk
2025-10-06, EC     ,           1, 18.768716999999988  ,  437525820,      0,       36103, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-06, EC     ,           1,  4.503912000000001  ,  444589020,      0,       13296, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-06, EC     ,           0, 20.96041399999999   ,  444589620,      0,       36034, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-06, EC     ,           1,  1.8776189999999997 ,  444590820,      0,        9074, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-06, EC     ,           1,  2.035783999999999  ,  444595020,      0,       10014, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-06, EC     ,           1,  2.0                ,  449832420,      0,       27289, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-06, EC     ,           0,  0.0                ,  449833020,      0,       19645, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
